Country Code,Weekend Type
AD,Saturday-Sunday
AL,Saturday-Sunday
AM,Saturday-Sunday
AR,Saturday-Sunday
AT,Saturday-Sunday
AU,Saturday-Sunday
AX,Saturday-Sunday
BA,Saturday-Sunday
BB,Saturday-Sunday
BE,Saturday-Sunday
BG,Saturday-Sunday
BJ,Saturday-Sunday
BO,Saturday-Sunday
BR,Saturday-Sunday
BS,Saturday-Sunday
BW,Saturday-Sunday
BY,Saturday-Sunday
BZ,Saturday-Sunday
CA,Saturday-Sunday
CH,Saturday-Sunday
CL,Saturday-Sunday
CN,Saturday-Sunday
CO,Saturday-Sunday
CR,Saturday-Sunday
CU,Saturday-Sunday
CY,Saturday-Sunday
CZ,Saturday-Sunday
DE,Saturday-Sunday
DK,Saturday-Sunday
DO,Saturday-Sunday
EC,Saturday-Sunday
EE,Saturday-Sunday
EG,Friday-Saturday
ES,Saturday-Sunday
FI,Saturday-Sunday
FO,Saturday-Sunday
FR,Saturday-Sunday
GA,Saturday-Sunday
GB,Saturday-Sunday
GD,Saturday-Sunday
GE,Saturday-Sunday
GG,Saturday-Sunday
GI,Saturday-Sunday
GL,Saturday-Sunday
GM,Saturday-Sunday
GR,Saturday-Sunday
GT,Saturday-Sunday
GY,Saturday-Sunday
HK,Saturday-Sunday
HN,Saturday-Sunday
HR,Saturday-Sunday
HT,Saturday-Sunday
HU,Saturday-Sunday
ID,Saturday-Sunday
IE,Saturday-Sunday
IM,Saturday-Sunday
IS,Saturday-Sunday
IT,Saturday-Sunday
JE,Saturday-Sunday
JM,Saturday-Sunday
JP,Saturday-Sunday
KR,Saturday-Sunday
KZ,Saturday-Sunday
LI,Saturday-Sunday
LS,Saturday-Sunday
LT,Saturday-Sunday
LU,Saturday-Sunday
LV,Saturday-Sunday
MA,Friday-Saturday
MC,Saturday-Sunday
MD,Saturday-Sunday
ME,Saturday-Sunday
MG,Saturday-Sunday
MK,Saturday-Sunday
MN,Saturday-Sunday
MS,Saturday-Sunday
MT,Saturday-Sunday
MX,Saturday-Sunday
MZ,Saturday-Sunday
NA,Saturday-Sunday
NE,Saturday-Sunday
NG,Saturday-Sunday
NI,Saturday-Sunday
NL,Saturday-Sunday
NO,Saturday-Sunday
NZ,Saturday-Sunday
PA,Saturday-Sunday
PE,Saturday-Sunday
PG,Saturday-Sunday
PL,Saturday-Sunday
PR,Saturday-Sunday
PT,Saturday-Sunday
PY,Saturday-Sunday
RO,Saturday-Sunday
RS,Saturday-Sunday
RU,Saturday-Sunday
SE,Saturday-Sunday
SG,Saturday-Sunday
SI,Saturday-Sunday
SJ,Saturday-Sunday
SK,Saturday-Sunday
SM,Saturday-Sunday
SR,Saturday-Sunday
SV,Saturday-Sunday
TN,Saturday-Sunday
TR,Saturday-Sunday
UA,Saturday-Sunday
US,Saturday-Sunday
UY,Saturday-Sunday
VA,Saturday-Sunday
VE,Saturday-Sunday
VN,Saturday-Sunday
ZA,Saturday-Sunday
ZW,Saturday-Sunday
CN,Saturday-Sunday
